Key,Values
2812,"[4041, 37034, 56278, 94526, 148446, 227721]"
2813,"[4043, 31361, 78588, 115680, 152099, 226073]"
2814,"[4050, 5653, 41415, 102483, 129334, 131978, 135154, 139431, 140698, 144175, 146391, 149001, 149347, 153587, 157535, 157793, 160067, 164713, 167586, 167854, 169316, 206429, 212080, 253152]"
2815,"[4051, 4295, 4708, 5827, 9568, 10800, 11461, 13958, 58084, 62724, 64343, 64564, 110865, 117975, 135473, 138854, 171880, 184787, 185066, 219129, 233690, 257067, 258015, 259510]"
2816,"[4054, 8152, 144542, 162860, 168578, 230874, 236244, 236308, 249941]"
2817,"[4055, 7596, 8254, 15464, 25341, 37831, 37836, 37844, 38285, 40135, 40569, 43299, 54927, 61204, 128819, 129546, 175819, 223875, 224785, 257563]"
2818,"[4055, 6351, 6814, 6911, 15033, 29530, 32229, 32551, 37954, 38112, 38285, 38338, 40415, 42494, 75143, 123458, 126456, 127346, 127355, 129546, 134831]"
2819,"[4056, 69840, 111887, 150403, 157800]"
2820,"[4059, 6862, 61050, 61200, 65295, 104010, 119667, 137947, 179694, 204720, 248452]"
2821,"[4059, 45528, 46756, 57711, 83467, 119400, 147207, 196942, 214406, 240172, 246808]"
2822,"[4060, 4361, 6601, 6881, 6985, 7527]"
2823,"[4061, 9592, 24948, 140285, 144493, 164364, 173811, 178593, 185628, 189554, 196157, 198287, 199949, 200874, 206497, 209377, 211286, 212316, 212604, 212610, 212743, 213581, 218999, 219593, 220519, 221434, 223434, 228934, 229921, 231109, 231484, 231830, 234770, 234837, 234877, 235939, 236010, 236444, 237724, 237810, 239415, 239491, 239516, 239858, 241508, 242012, 242174, 242415, 243661, 258155]"
2824,"[4061, 19413, 22537, 81436, 94059, 140295, 142875, 148121, 170914, 174074, 179834, 180445, 181108, 185674, 196331, 196374, 196961, 197423, 198287, 199550, 203491, 205721, 206142, 207004, 207175, 207319, 207356, 207361, 207392, 207491, 211123, 212196, 212663, 212667, 213319, 213782, 215441, 215703, 215818, 216153, 216558, 220400, 220421, 220502, 220624, 220635, 220798, 220817, 220955, 221030, 223266, 223434, 223798, 225261, 225934, 227302, 227324, 227348, 228699, 230844, 231368, 231428, 231569, 231667, 232394, 233314, 233553, 233978, 234425, 234866, 235928, 235945, 236276, 236444, 239273, 239491, 239496, 239552, 239717, 239811, 242045, 242243, 242293]"
2825,"[4062, 16999, 18843, 86801, 86809, 86834]"
2826,"[4063, 8649, 18003, 20958, 37180, 39252, 47104, 47344, 50858, 51461, 52557, 61671, 67645, 75244, 92388, 115082, 164909, 166684, 167410, 173890, 174869, 186928, 187342, 195310, 209834, 235592, 242469]"
2827,"[4064, 11431, 45584, 80605, 93726, 149310, 240111, 240267, 250259]"
2828,"[4065, 25255, 50347, 68729, 88508, 197676, 199332, 199519, 200539, 252586]"
2829,"[4067, 228371, 229851, 230297, 231218, 231915, 240784, 252558]"
2830,"[4067, 7823, 24312, 31168, 37698, 75863, 83665, 164136, 172053, 175888, 195190, 195209, 195228, 197212, 202213, 203740, 205305, 210712, 219169, 222538, 222768, 224863, 226399, 227759, 228499, 229941, 230362, 231225, 233472, 235029, 235114, 240784, 244176, 252558]"
2831,"[5770, 25259, 110885, 117601, 118045, 143476, 144621, 149921, 159016, 168746]"
2832,"[4073, 4192, 74084, 77919, 78960, 85222, 95131, 114645, 121562, 121941, 134189, 135663, 149111, 162276, 169048, 170932, 180931, 182542, 188815, 189262, 194209, 199840, 203242, 204569, 206764, 208424, 209569, 210603, 210730, 211272, 211308, 211565, 211857, 211979, 214086, 216198, 219834, 223027, 226732, 228620, 232503, 242510, 246894, 249920, 252752]"
2833,"[4074, 4133, 4154, 4293, 26512, 27679, 31022, 31178, 109557, 110990, 119103, 174101, 178735, 186649, 187583, 212310, 214207, 214510, 223235, 231091, 235050, 235051, 235163, 235364, 236310, 237605, 238449, 254431]"
2834,"[4075, 42786, 102284, 176294, 219714, 227918, 229834, 241302, 242037, 255206]"
2835,"[4077, 5093, 15280, 18473, 25674, 25820, 27388, 27429, 27494, 59324, 61685, 73481, 81247, 81649, 81776, 85952, 96295, 104666, 136164, 148070, 155843, 172136, 214315, 221973, 221985, 238062, 244131, 258394]"
2836,"[4078, 8529, 14596, 22669, 46721, 50975, 58295, 84963, 86138, 86174, 86286, 86519, 87072, 87096, 87640, 90365, 91556, 92371, 110618, 113420, 117487, 144203, 147537, 165779, 173117, 224770, 226282, 231810]"
2837,"[4080, 11793, 20128, 31363, 31468, 32712, 32923, 59341, 62231, 68811, 69373, 71581, 78052, 78419, 94764, 96085, 99220, 121419, 125133, 145468, 153722, 194585, 197409, 198113, 201155, 209107, 216550, 223555, 248684, 251142, 251480, 255295]"
2838,"[4081, 4232, 4307, 32363, 169301, 197331]"
2839,"[4083, 7302, 17256, 34955, 40481, 42075, 44431, 55326, 59374, 76507, 77895, 83397, 85049, 87917, 99370, 100821, 119668, 126426, 127976, 167071, 174222, 201844, 205154, 205784, 206434, 207720, 218604, 226117, 233302, 242356, 247223]"
2840,"[4084, 25877, 53788, 66185, 66231, 104068, 104732, 116137, 209373]"
2841,"[4085, 57829, 88617, 89999, 90433, 129043, 134141, 147858, 161365, 168633, 171603, 171972, 173156, 177942, 186954, 197018]"
2842,"[4087, 5694, 79039, 87359, 166109, 170488, 171100]"
2843,"[4089, 6152, 39275, 40510, 59979, 224380]"
2844,"[10268, 26412, 30706, 31058, 36206, 37809, 44590, 46747, 47408, 50147, 55849, 59154, 62455, 65999, 66535, 68588, 70280, 84547, 86048, 88006, 89560, 89981, 96649, 113563, 121058, 127081, 128292, 140718, 145973, 150150, 152399, 162787, 163843, 168942, 169369, 169376, 171408, 174258, 175246, 176961, 194328, 199027, 202138, 203794, 211061, 216372, 220991, 226620, 226875, 228423, 233301, 236384, 241614, 242879, 245231, 247824, 258806]"
2845,"[19833, 53997, 62369, 87492, 93572, 174761]"
2846,"[8484, 69914, 118818, 121358, 138847, 167404, 167988, 243425, 255993, 260148]"
2847,"[4090, 19350, 21720, 41815, 46019, 228330]"
2848,"[4091, 82908, 171496, 206163, 235198]"
2849,"[4094, 52324, 107520, 116531, 117044, 147326, 149196, 221357, 242638, 257596]"
2850,"[4095, 9319, 103778, 156783, 174406, 246385]"
2851,"[4096, 12374, 12400, 14712, 20421, 21700, 21834, 21917, 21959, 21981, 22194, 22200, 22436, 39245, 39326, 47582]"
2852,"[4097, 37325, 68237, 73435, 96099, 103603, 103608, 178337, 206425]"
2853,"[4099, 112786, 113238, 134969, 210067, 260435, 261398]"
2854,"[4100, 20602, 51244, 52831, 53316, 69606, 74423, 79811, 91123, 109184, 143877, 168191, 176680, 176681, 191915, 210245, 255607]"
2855,"[4101, 14796, 14831, 14843, 25396, 33959, 34041, 34101, 36161, 53075, 71429, 116150, 170418, 195843, 232762, 244119]"
2856,"[4102, 24866, 37606, 49960, 102706, 113556, 148060, 159091, 167380, 207782, 240122]"
2857,"[4104, 6525, 6737, 20436, 21803, 22413, 22663, 24888, 26456, 27196, 27873, 31486, 40425, 57294, 65180, 65532, 65880, 69135, 94990, 99215, 99935, 102537, 104559, 109674, 110803, 110860, 111314, 111773, 111938, 111957, 113802, 115871, 124370, 144761, 149125, 149288, 150881, 173074, 176887, 192891, 194248, 204927, 210789, 211933, 213912, 214421, 215684, 227838, 227865, 228000, 228001, 228058, 228200, 228362, 228933, 228942, 229087, 229099, 229460, 229726, 230408, 230424, 230505, 231354, 231405, 231442, 231713, 231941, 233599, 235540, 239055, 241932, 242006, 251939, 252058, 253284, 254599, 259619, 261000]"
2858,"[4105, 175585, 175639, 175960, 176032, 180877, 180884]"
2859,"[4109, 4187, 14300, 15675, 47149, 49386, 62582, 119064, 120015, 170737]"
2860,"[4110, 4748, 10524, 13560, 24718, 25054, 29414, 48749, 62426, 70954, 72635, 76471, 101014, 104369, 159426, 163290, 191779, 195543, 203699, 218186, 223618, 234714, 239734, 242171, 246840, 247184, 250843]"
2861,"[4111, 6782, 14653, 14899, 154322, 164247, 199952, 215702]"
2862,"[4113, 21551, 33559, 37485, 38627, 38790, 39336, 40018, 43393, 45152, 47532, 47988, 47999, 48161, 50244, 55814, 56441, 58205, 58832, 59323, 61961, 61977, 62368, 62430, 62512, 62674, 62950, 63148, 63185, 63436, 63487, 63511, 63632, 63714, 63742, 63768, 63818, 64105, 64145, 64169, 64277, 64280, 64526, 64761, 64770, 64852, 64856, 64859, 65103, 65150, 65269, 65307, 65384, 65408, 65492, 65545, 65554, 66042, 66136, 66232, 66551, 66578, 67515, 67617, 67621, 67745, 67820, 67976, 68292, 69539, 70524, 70655, 72812, 72861, 97901]"
2863,"[4114, 59668, 122320, 164020, 164236, 165687, 165795, 165936, 166332, 166455, 166479, 167124, 167639, 168593, 170352, 171760, 243593, 243616]"
2864,"[4115, 27518, 29499, 78052, 96973, 133459, 161301, 181205, 223507, 243461, 254172]"
2865,"[4118, 6127, 10710, 20630, 20889, 27194, 57072, 66027, 75978, 79109, 88563, 105278]"
2866,"[4122, 15183, 37262, 41412, 81755, 93658, 110557, 143930, 173000, 177951, 178533, 185435, 201706]"
2867,"[4125, 17226, 117362, 193188, 193523, 193659, 243921]"
2868,"[4128, 7603, 16009, 24011, 46971, 63090, 67483, 107759]"
2869,"[4129, 4318, 12415, 35577, 40191, 46198, 50539, 60195, 61774, 69506, 96961, 140054, 170867, 256420, 258656, 260194]"
2870,"[4130, 19064, 19153, 32366, 32647, 33080, 37202, 48477, 52878, 56288, 62374, 69157, 71307, 71524, 75401, 76231, 79552, 85234, 99102, 107646, 112988, 113008, 130844, 132669, 139820, 146336, 157136, 181923, 182015, 182080, 187710, 188963, 189322, 197068, 216562, 217300, 226494, 243538, 247588, 251089, 255177, 261378]"
2871,"[4134, 54625, 122199, 134114, 186778, 200096]"
2872,"[4140, 6808, 46750, 49014, 74731, 120505, 150831, 158561, 163220]"
2873,"[4141, 4712, 168876, 208567, 210454, 210707, 210724, 211081, 211199, 211296, 211316, 211937, 211963, 212002, 212073, 212409, 212913, 212998, 213183, 214133, 214157, 214254, 214333, 214439, 214475, 214513, 214668, 214775, 214844, 215103, 215191, 215331, 215644, 215970, 215985, 216147, 216703]"
2874,"[4142, 20900, 21017, 21679, 21919, 21940]"
2875,"[4146, 83686, 214534]"
2876,"[4147, 5969, 8179, 16958, 71815, 91986, 118567, 119091, 121407, 161632, 204255, 214667]"
2877,"[4148, 68496, 129593, 146515, 223715, 224076]"
2878,"[4150, 22595, 29166, 53781, 55188, 76113, 91315, 184900, 205834, 252652, 255573]"
2879,"[4151, 7876, 10750, 33618, 39974, 40057, 41321, 42269, 42640, 47485, 50517, 63728]"
2880,"[4153, 4237, 4240, 34898, 50494, 62908, 70308, 70312, 92220, 93456, 96642, 100351, 108834, 117932, 118127, 127836, 136160, 137951, 138372, 174372, 177727, 246007, 247001]"
2881,"[4155, 20185, 23645, 25670, 60895, 154271, 188699, 218059, 222024]"
2882,"[4157, 35151, 49233, 126865, 173883, 185233, 187293, 235051, 236148]"
2883,"[4159, 4897, 14309, 19121, 62163, 120358, 203423, 224431]"
2884,"[4160, 91961, 125501, 149578, 169547, 220080, 245869, 248197, 257282]"
2885,"[4165, 4398, 9925, 10054, 10098, 15114, 26150, 38020, 39498, 39658, 39742, 41348, 42322, 44753, 47035, 59238, 62091, 74127, 74269, 80375, 92715, 93347, 95848, 99462, 109550, 113697, 114803, 116817, 118580, 122334, 126936, 142380, 161458, 173866, 181427, 202951, 203463, 204449, 223857, 245048, 252077, 253999, 256507, 257036, 258857]"
2886,"[4167, 24250, 75069, 75791, 152441, 189147, 260704]"
2887,"[4169, 24547, 101724, 122457, 148735, 159125, 164360, 212976, 252218]"
2888,"[4170, 27411, 50289, 65949, 204216, 212034]"
2889,"[4171, 12773, 15946, 16583, 52984, 120561]"
2890,"[4172, 4433, 43560, 48235, 53405, 91546, 93870, 147856, 165612, 172149, 176638, 177565, 183673, 183975, 185383, 185863, 187150, 187330, 187375, 188052, 188085, 188201, 188204, 188220, 188290, 188675, 189115, 191002, 191410, 191933, 193053, 193224, 193331, 193397, 193632, 194954, 195507, 196204, 196675, 197364, 197735, 203364, 214745]"
2891,"[4176, 5575, 10319, 11294, 11896, 13076, 14132, 15101]"
2892,"[4181, 49423, 49487, 67032, 74308, 81392, 94533, 105901, 108100, 109961, 140776, 145436, 146561, 185326, 188210, 196576, 202914, 220124]"
2893,"[4184, 5950, 14363, 38873, 39865, 64068, 69297, 85736, 92695, 100097, 100149, 104756, 105721, 129288, 146705, 159022, 170121, 183447, 191574, 202333, 203918, 209743, 232159, 235722, 240378, 244465, 250458, 257897, 258563, 259197]"
2894,"[4188, 5134, 7188, 7400, 7944, 8139, 8151, 10312, 10389, 11555, 12286, 13610, 14184, 16992, 18412, 19340, 19852, 19945, 22411, 26231, 26487, 26631, 26814, 30284, 39346, 40166, 40447, 43520, 46434, 46931, 47052, 48781, 49057, 49675, 49763, 51266, 51766, 53786, 57168, 60528, 60630, 63057, 63699, 64196, 67408, 69392, 71725, 72904, 73253, 73264, 77960, 80893, 83228, 86267, 86835, 89450, 91886, 92911, 93980, 94279, 95475, 97315, 98749, 100155, 100277, 105548, 108089, 112170, 112252, 112258, 112310, 118336, 119849, 120297, 120868, 122033, 125820, 128000, 128264, 129377, 130698, 131931, 132211, 132624, 134173, 134727, 135442, 136279, 137087, 140722, 140820, 141579, 141744, 142095, 142298, 144743, 149966, 150582, 150744, 151213, 151367, 151487, 151574, 151819, 156513, 157391, 158210, 159470, 160084, 162069, 162168, 162559, 162662, 165778, 167770, 167876, 169008, 169034, 170755, 170975, 171416, 171679, 174021, 177883, 178476, 178563, 178810, 178918, 180644, 181604, 181835, 183288, 187760, 191250, 191736, 192336, 196362, 197069, 197977, 199568, 199658, 199940, 206492, 206772, 208846, 209083, 211033, 212566, 213772, 214804, 216456, 216645, 217252, 219066, 222694, 226659, 229000, 229712, 231779, 232461, 234214, 234849, 234928, 235228, 236663, 236907, 237039, 237242, 237683, 238570, 239380, 239434, 242127, 245199, 246779, 247283, 248824, 249828, 250088, 250588, 250918, 253580, 254539, 258710, 259320, 259558, 259695, 259961, 260089, 260283, 260745, 261079, 261643, 261783, 261788, 261854]"
2895,"[4190, 171160, 189469, 227659, 235673, 243369, 245253]"
2896,"[4191, 162618, 195057, 221452, 222782, 228033, 228316, 228444, 228971, 228999, 229280, 229405, 229606, 229743, 229784, 229803, 229820, 229856, 229872, 230326, 230507, 232531, 234858, 235245, 235994, 238109, 238820, 239879, 240090, 240441, 240447, 240745, 241476, 247557, 247798, 248056, 249789, 254289, 254441]"
2897,"[4195, 4263, 4340, 4379, 4438, 4929]"
2898,"[4196, 75711, 112169, 139515, 147392, 170633, 205204, 212302, 236020, 247936, 247937]"
2899,"[4198, 4202, 5139, 27652, 47065, 61561, 68715, 94235, 134857, 175846, 176098, 177747, 203953]"
2900,"[4199, 18735, 24451, 31861, 35451, 35772, 36049, 39131, 43514, 43537, 45229, 46537, 47899, 48582, 48886, 50558, 51304, 58411, 62015, 63839, 64474, 68291, 68626, 70306, 75795, 88618, 92302, 93037, 93895, 100672, 100896, 104563, 111567, 113055, 113270, 138684, 146798, 149792, 157884, 158541, 168086, 172301, 176297, 176497, 179899, 180412, 190744, 203616, 221862, 235545, 239444, 248423]"
2901,"[4200, 14852, 21546, 73092, 106441, 139405, 139777, 145553, 162126, 211353, 211434]"
2902,"[4204, 50976, 51711, 52719, 52951, 53163, 53166, 54171, 55912, 62313, 62839, 134754, 136051, 138464, 166029]"
2903,"[4204, 53370, 60866, 108493, 138881, 166029]"
2904,"[4205, 11681, 29540, 54574, 66089, 69808]"
2905,"[4207, 21821, 28342, 98773, 156907, 253970]"
2906,"[4208, 6267, 27099, 38258, 39911, 50930, 70775, 94993, 109207, 112622, 138478, 142989, 166375, 188959, 190691, 238218, 239255, 252715, 255519, 258568, 259306, 259408]"
2907,"[4210, 19615, 31346, 34017, 118928, 131654, 141452]"
2908,"[4211, 47020, 50596, 55019, 57181, 57989]"
2909,"[4212, 7085, 7097, 8092, 8539, 9542, 10659, 19926, 22733, 24464]"
2910,"[4212, 8433, 10952, 12037, 61251, 75850, 134705, 184809, 248321]"
2911,"[4213, 14081, 29829, 32136, 41146, 41148, 45491, 49609, 55826, 75240, 77370, 77850, 77854, 93879, 105271, 109192, 113378, 113385, 141390, 143400, 145108, 146273, 162944, 163887, 165079, 165080, 165093, 175696, 175702, 176270, 177362, 178528, 179831, 180810, 208051, 208052, 208055, 216527, 232245, 232247, 232728, 233310, 236627, 240345, 240352, 252466, 261110]"
2912,"[4215, 4269, 4301, 4456, 4619, 55626, 62785]"
2913,"[4217, 4238, 19564, 37073, 37695, 92374, 101081, 121422, 144599]"
2914,"[4218, 39349, 76969, 136863, 149655, 168944, 208062, 228219, 230176, 252520]"
2915,"[4219, 38013, 38110, 171552, 173534, 222828]"
2916,"[4221, 7634, 17184, 44781, 64941, 83582, 87297, 105901, 112800, 117304, 149535, 169147, 186859, 192196, 233410]"
2917,"[4222, 46412, 106566, 141572, 231494]"
2918,"[4223, 5646, 35854, 64428, 64430, 80993]"
2919,"[17970, 18470, 41480, 43887, 121470, 133092, 149369, 149473, 152252, 178461, 201542, 213049, 239899, 247303, 248686, 251576, 253921, 261004]"
2920,"[4225, 16774, 60309, 97734, 118633, 144043, 167716, 219582, 232131]"
2921,"[4227, 32326, 43525, 58796, 59467, 142890, 200424, 232255]"
2922,"[4231, 5046, 60649, 60986, 91163, 120597, 126233, 131405, 132143, 140434]"
2923,"[4233, 29577, 40723, 44007, 45051, 59088, 80372, 88272, 116140, 131284, 150008, 153701, 163934, 177042, 202244, 215906]"
2924,"[4235, 13254, 23782, 23792, 27015, 27017, 27480, 30025, 35182, 35775, 36428, 38599, 48541, 56653, 80330, 83608, 105265, 111910, 114965, 116991, 126542, 129349, 136869, 148073, 157249, 159411, 162372, 169198, 171129, 177218, 177998, 180982, 191548, 195380, 195552, 205411, 213479, 222563, 226155, 244360, 244501, 245544, 258541, 259332, 259549, 261352]"
2925,"[4236, 46033, 66297, 78664, 84620, 88097, 96226, 105047, 133361, 145951, 155544, 177220, 194361, 213706, 218984, 257153]"
2926,"[4238, 14524, 19043, 29177, 37695, 41530, 72007, 73110, 88361, 96248, 98693, 101081, 113279, 122078, 132461, 168639, 168726, 171376, 187725, 211290, 218771, 218824, 220858, 222644, 226251, 244864, 245099, 256855]"
2927,"[4239, 50192, 53711, 68980, 124225, 127605, 133180, 133182, 148367, 183698, 184020]"
2928,"[4242, 5364, 5499, 6814, 7648, 8528, 8733, 9750, 18795, 18919, 20905, 21938, 23779, 25539, 26672, 28578, 29530, 29652, 29661, 29684, 29686, 29714, 29789, 29794, 29845, 29847, 29960, 30289, 30823, 30882, 30929, 31132, 32026, 34728, 34797, 37438, 37630, 37726, 37828, 38031, 38141, 38298, 38304, 38312, 38550, 38748, 39007, 39533, 39944, 40475, 40794, 42446, 47289, 50205, 59013, 59167, 59367, 59523, 62282, 65142, 68229, 70863, 72478, 73373, 73414, 75282, 75417, 76390, 82986, 84136, 84724, 97891, 98220, 127721, 127832, 128072, 128985, 132336, 138942, 141953, 151734, 152654, 154375, 165901, 168565, 173805, 199285, 204068, 204739, 208871, 223822, 255986, 259473]"
2929,"[4242, 6332, 6775, 25188, 27259, 29623, 29661, 29714, 29781, 29942, 32551, 35977, 38019, 38748, 39868, 40271, 40415, 40569, 40616, 40909, 42446, 42606, 59177, 59523, 75300, 75311, 93630, 95059, 96243, 128147, 128819, 134131, 135042, 174678, 179819, 251163]"
2930,"[4243, 171789, 187457, 215124]"
2931,"[4244, 32179, 37903, 43261, 49589, 50951, 72013, 92723, 103348, 110500, 111483, 119842, 120899, 121872, 153930, 197398]"
2932,"[4244, 32179, 58809, 112272, 229128, 232270]"
2933,"[4247, 13041, 34887, 76096, 84050, 159104]"
2934,"[4248, 12168, 12190, 23285, 25211, 161621]"
2935,"[4249, 21895, 23190, 48565, 75682, 76734, 83405, 85437, 86846, 87032, 87046, 87276, 87533, 89334, 91156, 91430, 114455, 153321, 153541, 203910, 204371, 213167, 216433, 226279, 226374, 227306, 229422, 232033, 234082, 250949, 254904, 257314]"
2936,"[4250, 29364, 36216, 36486, 42509, 46301, 91526, 91629, 113531, 138323, 163656, 233995, 238419, 245247, 261161]"
2937,"[4250, 31923, 43586, 46262, 47654, 49195, 64405, 72053, 74605, 104886, 106546, 108057, 178423, 178748, 196927, 209783, 211420, 222727, 233522]"
2938,"[4253, 8365, 27537, 33201, 41368, 52186, 71180, 75189, 86201, 92336, 94904, 154189, 174488, 175357, 194254, 226303, 239060, 245216, 252925]"
2939,"[4254, 6856, 24474, 25426, 36086, 40732, 42519, 43321, 68381, 98095, 108708, 127718, 140567, 147309, 152365, 162350, 176728]"
2940,"[4254, 12974, 13104, 16317, 17201, 19510, 19638, 23349, 24978, 27146, 28836, 36009, 36585, 37289, 37569, 37837, 38645, 38825, 38870, 39427, 39515, 40160, 40357, 40488, 40809, 41946, 42114, 42266, 42465, 42890, 45470, 45859, 46265, 46408, 46519, 48150, 48174, 48545, 48756, 50551, 51297, 51717, 52628, 52985, 53170, 53888, 53896, 54008, 54183, 54566, 55295, 55403, 55628, 56061, 56394, 56463, 58556, 58913, 59127, 60206, 61005, 63102, 63604, 64311, 64566, 65465, 66749, 67541, 68760, 69899, 70850, 70900, 71335, 71869, 72262, 72294, 75119, 76689, 79768, 80426, 81036, 82777, 86760, 88771, 90732, 90987, 91183, 93664, 94440, 95297, 97973, 99470, 100296, 100409, 100429, 102908, 103619, 105708, 109578, 109645, 117843, 124953, 125350, 129053, 129528, 135827, 138419, 138682, 140759, 141448, 146261, 148409, 149144, 155735, 157286, 159228, 161039, 161321, 161582, 162844, 164971, 167652, 167958, 168380, 168747, 169924, 170463, 170744, 171350, 171988, 171999, 176438, 177110, 177678, 177953, 178601, 178647, 181206, 184804, 184956, 185541, 187047, 188376, 188398, 191984, 192684, 197768, 202572, 203203, 203649, 210515, 210902, 211259, 220758, 222335, 226923, 235489, 237812, 242252, 253605, 255260, 257501]"
2941,"[4255, 22800, 50357, 106665, 174213, 201579, 218374, 231277]"
2942,"[4256, 4492, 5352, 5860, 11511, 11877, 12417, 14396, 17032, 26320, 26922, 34434, 36631, 37237, 50255, 50257, 63174, 66106, 69331, 70538, 71839, 72713, 77869, 82738, 90038, 100514, 101151, 108543, 127308, 127375, 128453, 130545, 139187, 149358, 149832, 150165, 150366, 151671, 153681, 159724, 162612, 168211, 175452, 176057, 176984, 177767, 185473, 191283, 192598, 193593, 193967, 194207, 194294, 196086, 198375, 202704, 206329, 210683, 210920, 211493, 217621, 224192, 224761, 226167, 226797, 231528, 239754, 244940, 259399]"
2943,"[4256, 93842, 128849, 132407, 144883, 160226, 192977, 203272, 253890]"
2944,"[28987, 38079, 41866, 47255, 54458, 88599, 157694, 163396, 167657, 177073]"
2945,"[4260, 100695, 103410, 117468, 160513, 219289]"
2946,"[4261, 15244, 51825, 59295, 97388, 100630, 100927, 115184, 159381, 184306, 194755]"
2947,"[4262, 164599, 164617, 171616, 247684, 249612]"
2948,"[4264, 17570, 21437, 97136, 105148, 113941, 174408, 179465, 250384, 253379, 253895]"
2949,"[4266, 8682, 13926, 14690, 35888, 51085, 51096, 57762, 60948, 64814, 76496, 109110, 111771, 120506, 126401, 126992, 136295, 137496, 142767, 143318, 163623, 163890, 176527, 181249, 208475, 210160, 210476, 217599, 238779, 253899]"
2950,"[4268, 60659, 64998, 69296, 69376, 74454, 80836, 83991, 86405, 94297, 99635, 103919, 131864, 138754, 147870, 194961, 197449, 218812, 248728]"
2951,"[4270, 13163, 138460, 141530, 164912, 178616, 180431, 181592, 187922, 187992, 188984, 195401, 197162, 197955, 198976, 207992, 212432, 213048, 214449, 215291, 215451, 215559, 215725, 216212, 218694, 219412, 219519, 219615, 220229, 220588, 221396, 223211, 223420, 228049, 232009, 234473, 236380, 236678, 239557, 242034, 242225, 243239, 246565, 255275]"
2952,"[4271, 6273, 6316, 16979, 18759, 27048, 35856, 37874, 38346, 41433, 46695, 66613]"
2953,"[4272, 19954, 20755, 21142, 28244, 30071, 33411, 38641, 40059, 41357, 52813, 56564, 59129, 85291, 86168, 87638, 91677, 103706, 122784, 154848, 161915, 163387, 170370, 171280, 172859, 173083, 173887, 207194, 214936, 223333, 223722, 226927, 227770, 227965, 233602, 238867, 239315, 248246, 261400]"
2954,"[4275, 5039, 16798, 25963, 54665, 71368, 98389, 170722]"
2955,"[4276, 7753, 12661, 161045, 254494]"
2956,"[4277, 5289, 12041, 16380, 17353, 34493, 36961, 69484, 72351, 78332, 79580, 79588, 79617, 79634, 99143, 103225, 103483, 112594, 125284, 158601, 167001, 176761, 196335, 198231, 204846, 249283, 250244, 251504, 251782, 253269, 255065]"
2957,"[4278, 23347, 92126, 134119, 141388, 231572]"
2958,"[4279, 4463, 5522, 6393, 7111, 8019, 45089]"
2959,"[4280, 16564, 20717, 25308, 25561, 32449, 37328, 49703, 54169, 54736, 58107, 67793, 70796, 71782, 75848, 87211, 100594, 126913, 127527, 149453, 167912, 193375, 203105, 204444, 226012, 245985, 255858]"
2960,"[4281, 9099, 12353, 17801, 21702, 23193, 30052, 30622, 31367, 33129, 33915, 35197, 41960, 46599, 51069, 53960, 54402, 66298, 66697, 74365, 76239, 87358, 89948, 93564, 93614, 99259, 106326, 107119, 107315, 121175, 125523, 128864, 142903, 143490, 144212, 144554, 152991, 170314, 174683, 174690, 180633, 181354, 185641, 197437, 201055, 201061, 204488, 206850, 208274, 208672, 208776, 209571, 211323, 215567, 221107, 222301, 222475, 231972, 247505, 248951, 249464, 250330, 251173, 257727]"
2961,"[36208, 60104, 77466, 94696, 96492, 154665, 168568]"
2962,"[4283, 47174, 97029, 217835, 231638, 236371]"
2963,"[4284, 63404, 63835, 126266, 158507, 175672, 211919]"
2964,"[4285, 7153, 52426, 64772, 70712, 81395, 89130, 109748, 115151, 117560, 130283, 133440, 152862, 166424, 198286, 202182, 218786, 252627]"
2965,"[4287, 7847, 16071, 78811, 107002, 162964, 221366]"
2966,"[4289, 10085, 13090, 13997, 19441, 20048, 20482, 22072, 27004, 29449, 34684, 35525, 35661, 36388, 36815, 36930, 37549, 38675, 39785, 46554, 48938, 53980, 55865, 59689, 73248, 78506, 84981, 89131, 90011, 93763, 98978, 136740, 146448, 147203, 151282, 176158, 176849, 187562, 188180, 190218, 192610, 192764, 201688, 205097, 210013, 211763, 226296, 227440]"
2967,"[4291, 25785, 113235, 167956, 169919, 241106]"
2968,"[20317, 46607, 46758, 48999, 51574, 52779, 53595, 59783, 61532, 73036, 78896, 93824, 96212, 101664, 140665]"
2969,"[4292, 123676, 188456, 189705, 198487, 202575]"
2970,"[4294, 16412]"
2971,"[4296, 46158, 61009, 148328, 158085, 175903, 187309, 213341, 238821, 241484]"
2972,"[4300, 25279, 26677, 41068, 47666, 68265, 131108, 154837, 182781, 217581, 235118]"
2973,"[4300, 17872, 48390, 53739, 110616, 235798, 240189, 256794]"
2974,"[4302, 15793, 21069, 49010, 59942, 84493, 151083, 173300, 173613, 176767, 179368, 200783, 201533, 204590, 216156, 217057, 219770]"
2975,"[4305, 8644, 29183, 56822, 103259, 145019, 185316, 185702, 195747, 250049]"
2976,"[4308, 16322, 80747]"
2977,"[4309, 4895, 11004, 12675, 13065, 22155, 124343, 129730]"
2978,"[4316, 87304, 140271, 145027, 155598, 201382]"
2979,"[4319, 5611, 14101, 14355, 18171, 31718, 40309, 50018, 54539, 68413, 87648, 95774, 114103, 135429, 167842, 174450]"
2980,"[4320, 11394, 18528, 41013, 111881, 122369, 177189, 227492]"
2981,"[4321, 31385, 38069, 41485, 182409, 261349]"
